# n nlogn 12sqrt(n) 1/n n^(log2n) 100n2+6n n^0.51 n2-324 50sqrt(n) 2n3 3^n 2^32*n log2n
2 2.000000 16.970563 0.500000 2.000000 412.000000 1.424050 -320.000000 70.710678 16.000000 9.000000 8589934592.000000 1.000000
3 4.754888 20.784610 0.333333 5.704522 918.000000 1.751184 -315.000000 86.602540 54.000000 27.000000 12884901888.000000 1.584963
4 8.000000 24.000000 0.250000 16.000000 1624.000000 2.027919 -308.000000 100.000000 128.000000 81.000000 17179869184.000000 2.000000
5 11.609640 26.832816 0.200000 41.971848 2530.000000 2.272347 -299.000000 111.803399 250.000000 243.000000 21474836480.000000 2.321928
6 15.509775 29.393877 0.166667 102.681405 3636.000000 2.493774 -288.000000 122.474487 432.000000 729.000000 25769803776.000000 2.584963
7 19.651484 31.749016 0.142857 235.770868 4942.000000 2.697739 -275.000000 132.287566 686.000000 2187.000000 30064771072.000000 2.807355
8 24.000000 33.941125 0.125000 512.000000 6448.000000 2.887858 -260.000000 141.421356 1024.000000 6561.000000 34359738368.000000 3.000000
9 28.529325 36.000000 0.111111 1058.954227 8154.000000 3.066646 -243.000000 150.000000 1458.000000 19683.000000 38654705664.000000 3.169925
10 33.219281 37.947332 0.100000 2098.592396 10060.000000 3.235937 -224.000000 158.113883 2000.000000 59049.000000 42949672960.000000 3.321928
11 38.053748 39.799497 0.090909 4005.223747 12166.000000 3.397115 -203.000000 165.831240 2662.000000 177147.000000 47244640256.000000 3.459432
12 43.019550 41.569219 0.083333 7393.061153 14472.000000 3.551260 -180.000000 173.205081 3456.000000 531441.000000 51539607552.000000 3.584963
13 48.105716 43.266615 0.076923 13245.861955 16978.000000 3.699228 -155.000000 180.277564 4394.000000 1594323.000000 55834574848.000000 3.700440
14 53.302969 44.899889 0.071429 23105.545058 19684.000000 3.841716 -128.000000 187.082869 5488.000000 4782969.000000 60129542144.000000 3.807355
15 58.603359 46.475800 0.066667 39342.312126 22590.000000 3.979299 -99.000000 193.649167 6750.000000 14348907.000000 64424509440.000000 3.906891
16 64.000000 48.000000 0.062500 65536.000000 25696.000000 4.112455 -68.000000 200.000000 8192.000000 43046721.000000 68719476736.000000 4.000000
17 69.486868 49.477268 0.058824 107007.506497 29002.000000 4.241593 -35.000000 206.155281 9826.000000 129140163.000000 73014444032.000000 4.087463
18 75.058650 50.911688 0.055556 171550.584717 32508.000000 4.367058 0.000000 212.132034 11664.000000 387420489.000000 77309411328.000000 4.169925
19 80.710623 52.306787 0.052632 270428.590391 36214.000000 4.489152 37.000000 217.944947 13718.000000 1162261467.000000 81604378624.000000 4.247928
20 86.438562 53.665631 0.050000 419718.479173 40120.000000 4.608136 76.000000 223.606798 16000.000000 3486784401.000000 85899345920.000000 4.321928
21 92.238666 54.990908 0.047619 642106.172840 44226.000000 4.724239 117.000000 229.128785 18522.000000 10460353203.000000 90194313216.000000 4.392317
22 98.107496 56.284989 0.045455 969264.146814 48532.000000 4.837663 160.000000 234.520788 21296.000000 31381059609.000000 94489280512.000000 4.459432
23 104.041925 57.549978 0.043478 1444974.668050 53038.000000 4.948587 205.000000 239.791576 24334.000000 94143178827.000000 98784247808.000000 4.523562
24 110.039100 58.787754 0.041667 2129201.612098 57744.000000 5.057172 252.000000 244.948974 27648.000000 282429536481.000000 103079215104.000000 4.584963
25 116.096405 60.000000 0.040000 3103361.458491 62650.000000 5.163562 301.000000 250.000000 31250.000000 847288609443.000000 107374182400.000000 4.643856
26 122.211433 61.188234 0.038462 4477101.340867 67756.000000 5.267886 352.000000 254.950976 35152.000000 2541865828329.000000 111669149696.000000 4.700440
27 128.381963 62.353829 0.037037 6396960.561985 73062.000000 5.370263 405.000000 259.807621 39366.000000 7625597484987.000000 115964116992.000000 4.754888
28 134.605938 63.498031 0.035714 9057373.662722 78568.000000 5.470797 460.000000 264.575131 43904.000000 22876792454961.000000 120259084288.000000 4.807355
29 140.881449 64.621978 0.034483 12714570.115765 84274.000000 5.569587 517.000000 269.258240 48778.000000 68630377364883.000000 124554051584.000000 4.857981
30 147.206718 65.726707 0.033333 17704040.456755 90180.000000 5.666721 576.000000 273.861279 54000.000000 205891132094649.000000 128849018880.000000 4.906891
31 153.580086 66.813172 0.032258 24462373.961931 96286.000000 5.762281 637.000000 278.388218 59582.000000 617673396283947.000000 133143986176.000000 4.954196
32 160.000000 67.882251 0.031250 33554432.000000 102592.000000 5.856343 700.000000 282.842712 65536.000000 1853020188851841.000000 137438953472.000000 5.000000
